variable_name,description,data_type,min,max,units,enumerations,comment,Required,Primary Key,Foreign Key,FK Table,FK Domain,tests
concept_id,"A unique identifier for the concept.",integer,,,,,"Foreign Key: CONCEPT.concept_id.","Yes","No","Yes","CONCEPT",,"not_null"
concept_synonym_name,"The synonym or alternate name for the concept.",varchar(1000),,,,,"Human-readable synonym for the concept.","Yes","No","No",,,"not_null"
language_concept_id,"A foreign key referring to the CONCEPT table to specify the language of the synonym.",integer,,,,Accepted Concepts,"Foreign Key: CONCEPT.concept_id.","Yes","No","Yes","CONCEPT",,"not_null"
